Variable,MOE
K201401_001E,K201401_001M
K201401_002E,K201401_002M
K201401_003E,K201401_003M
K201401_004E,K201401_004M
K201401_005E,K201401_005M
K201401_006E,K201401_006M
K201401_007E,K201401_007M
K201401_008E,K201401_008M
K201401_009E,K201401_009M
K201401_010E,K201401_010M
K201501_001E,K201501_001M
K201501_002E,K201501_002M
K201501_003E,K201501_003M
K201501_004E,K201501_004M
K201501_005E,K201501_005M
K201501_006E,K201501_006M
K201501_007E,K201501_007M
K201501_008E,K201501_008M
K201601_001E,K201601_001M
K201601_002E,K201601_002M
K201601_003E,K201601_003M
K201601_004E,K201601_004M
K201601_005E,K201601_005M
K201601_006E,K201601_006M
K201601_007E,K201601_007M
K201601_008E,K201601_008M
K201701_001E,K201701_001M
K201701_002E,K201701_002M
K201701_003E,K201701_003M
K201701_004E,K201701_004M
K201701_005E,K201701_005M
K201701_006E,K201701_006M
K201701_007E,K201701_007M
K201701_008E,K201701_008M
K201701_009E,K201701_009M
K201702_001E,K201702_001M
K201702_002E,K201702_002M
K201702_003E,K201702_003M
K201702_004E,K201702_004M
K201702_005E,K201702_005M
K201702_006E,K201702_006M
K201703_001E,K201703_001M
K201703_002E,K201703_002M
K201703_003E,K201703_003M
K201703_004E,K201703_004M
K201703_005E,K201703_005M
K201703_006E,K201703_006M
K201703_007E,K201703_007M
K201703_008E,K201703_008M
K201703_009E,K201703_009M
K201703_010E,K201703_010M
K201703_011E,K201703_011M
K201801_001E,K201801_001M
K201801_002E,K201801_002M
K201801_003E,K201801_003M
K201801_004E,K201801_004M
K201801_005E,K201801_005M
K201801_006E,K201801_006M
K201802_001E,K201802_001M
K201802_002E,K201802_002M
K201802_003E,K201802_003M
K201802_004E,K201802_004M
K201802_005E,K201802_005M
K201802_006E,K201802_006M
K201802_007E,K201802_007M
K201802_008E,K201802_008M
K201802_009E,K201802_009M
K201802_010E,K201802_010M
K201803_001E,K201803_001M
K201803_002E,K201803_002M
K201803_003E,K201803_003M
K201803_004E,K201803_004M
K201803_005E,K201803_005M
K201803_006E,K201803_006M
K201803_007E,K201803_007M
K201803_008E,K201803_008M
K201803_009E,K201803_009M
K201901_001E,K201901_001M
K201901_002E,K201901_002M
K201901_003E,K201901_003M
K201901_004E,K201901_004M
K201901_005E,K201901_005M
K201901_006E,K201901_006M
K201901_007E,K201901_007M
K201901_008E,K201901_008M
K201902_001E,K201902_001M
K201903_001E,K201903_001M
K201903_002E,K201903_002M
K201903_003E,K201903_003M
K201903_004E,K201903_004M
K201903_005E,K201903_005M
K201903_006E,K201903_006M
K201903_007E,K201903_007M
K201903_008E,K201903_008M
K201904_001E,K201904_001M
K201905_001E,K201905_001M
K202002_001E,K202002_001M
K202002_002E,K202002_002M
K202002_003E,K202002_003M
K202002_004E,K202002_004M
K202002_005E,K202002_005M
K202101_001E,K202101_001M
K202101_002E,K202101_002M
K202101_003E,K202101_003M
K202101_004E,K202101_004M
K202101_005E,K202101_005M
K202101_006E,K202101_006M
K202102_001E,K202102_001M
K202102_002E,K202102_002M
K202102_003E,K202102_003M
K202201_001E,K202201_001M
K202201_002E,K202201_002M
K202201_003E,K202201_003M
K202201_004E,K202201_004M
K202201_005E,K202201_005M
K202201_006E,K202201_006M
K202201_007E,K202201_007M
K202301_001E,K202301_001M
K202301_002E,K202301_002M
K202301_003E,K202301_003M
K202301_004E,K202301_004M
K202301_005E,K202301_005M
K202301_006E,K202301_006M
K202301_007E,K202301_007M
K202302_001E,K202302_001M
K202302_002E,K202302_002M
K202302_003E,K202302_003M
K202302_004E,K202302_004M
K202302_005E,K202302_005M
K202302_006E,K202302_006M
K202302_007E,K202302_007M
K202302_008E,K202302_008M
K202302_009E,K202302_009M
K202302_010E,K202302_010M
K202302_011E,K202302_011M
K202401_001E,K202401_001M
K202401_002E,K202401_002M
K202401_003E,K202401_003M
K202401_004E,K202401_004M
K202401_005E,K202401_005M
K202401_006E,K202401_006M
K202402_001E,K202402_001M
K202402_002E,K202402_002M
K202402_003E,K202402_003M
K202402_004E,K202402_004M
K202402_005E,K202402_005M
K202402_006E,K202402_006M
K202402_007E,K202402_007M
K202402_008E,K202402_008M
K202402_009E,K202402_009M
K202403_001E,K202403_001M
K202403_002E,K202403_002M
K202403_003E,K202403_003M
K202403_004E,K202403_004M
K202403_005E,K202403_005M
K202403_006E,K202403_006M
K202403_007E,K202403_007M
K202403_008E,K202403_008M
K202403_009E,K202403_009M
K202403_010E,K202403_010M
K202403_011E,K202403_011M
K202403_012E,K202403_012M
K202403_013E,K202403_013M
K202403_014E,K202403_014M
K202501_001E,K202501_001M
K202501_002E,K202501_002M
K202501_003E,K202501_003M
K202502_001E,K202502_001M
K202502_002E,K202502_002M
K202502_003E,K202502_003M
K202503_001E,K202503_001M
K202503_002E,K202503_002M
K202503_003E,K202503_003M
K202504_001E,K202504_001M
K202504_002E,K202504_002M
K202504_003E,K202504_003M
K202504_004E,K202504_004M
K202504_005E,K202504_005M
K202504_006E,K202504_006M
K202504_007E,K202504_007M
K202505_001E,K202505_001M
K202505_002E,K202505_002M
K202505_003E,K202505_003M
K202505_004E,K202505_004M
K202505_005E,K202505_005M
K202505_006E,K202505_006M
K202505_007E,K202505_007M
K202506_001E,K202506_001M
K202506_002E,K202506_002M
K202506_003E,K202506_003M
K202506_004E,K202506_004M
K202506_005E,K202506_005M
K202506_006E,K202506_006M
K202507_001E,K202507_001M
K202507_002E,K202507_002M
K202507_003E,K202507_003M
K202507_004E,K202507_004M
K202507_005E,K202507_005M
K202507_006E,K202507_006M
K202507_007E,K202507_007M
K202508_001E,K202508_001M
K202508_002E,K202508_002M
K202508_003E,K202508_003M
K202509_001E,K202509_001M
K202509_002E,K202509_002M
K202509_003E,K202509_003M
K202509_004E,K202509_004M
K202509_005E,K202509_005M
K202509_006E,K202509_006M
K202509_007E,K202509_007M
K202509_008E,K202509_008M
K202509_009E,K202509_009M
K202510_001E,K202510_001M
K202511_001E,K202511_001M
K202601_001E,K202601_001M
K202701_001E,K202701_001M
K202701_002E,K202701_002M
K202701_003E,K202701_003M
K202701_004E,K202701_004M
K202701_005E,K202701_005M
K202701_006E,K202701_006M
K202701_007E,K202701_007M
K202701_008E,K202701_008M
K202701_009E,K202701_009M
K202701_010E,K202701_010M
K202702_001E,K202702_001M
K202702_002E,K202702_002M
K202702_003E,K202702_003M
K202703_001E,K202703_001M
K202703_002E,K202703_002M
K202703_003E,K202703_003M
K202801_001E,K202801_001M
K202801_002E,K202801_002M
K202801_003E,K202801_003M
K202801_004E,K202801_004M
K202801_005E,K202801_005M
K202801_006E,K202801_006M
